12:38:35.418 > ets Jul 29 2019 12:21:46
12:38:35.421 > 
12:38:35.421 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
12:38:35.421 > configsip: 0, SPIWP:0xee
12:38:35.427 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
12:38:35.435 > mode:DIO, clock div:2
12:38:35.437 > load:0x3fff0030,len:1184
12:38:35.440 > load:0x40078000,len:13232
12:38:35.440 > load:0x40080400,len:3028
12:38:35.443 > entry 0x400805e4
12:38:35.658 > AS5600 inicializada.
12:38:35.664 > Waiting for magnet detection...
12:38:35.671 > Angle: 113.73 Voltaje: 0.00
12:38:35.721 > Angle: 113.73 Voltaje: 0.01
12:38:35.773 > Angle: 113.73 Voltaje: 0.02
12:38:35.823 > Angle: 113.73 Voltaje: 0.03
12:38:35.871 > Angle: 113.73 Voltaje: 0.04
12:38:35.925 > Angle: 113.73 Voltaje: 0.05
12:38:35.967 > Angle: 113.73 Voltaje: 0.06
12:38:36.021 > Angle: 113.73 Voltaje: 0.07
12:38:36.078 > Angle: 113.73 Voltaje: 0.08
12:38:36.127 > Angle: 113.73 Voltaje: 0.09
12:38:36.179 > Angle: 113.73 Voltaje: 0.10
12:38:36.228 > Angle: 113.73 Voltaje: 0.11
12:38:36.277 > Angle: 113.73 Voltaje: 0.12
12:38:36.327 > Angle: 113.73 Voltaje: 0.13
12:38:36.376 > Angle: 113.73 Voltaje: 0.14
12:38:36.427 > Angle: 113.73 Voltaje: 0.15
12:38:36.486 > Angle: 113.73 Voltaje: 0.16
12:38:36.538 > Angle: 113.73 Voltaje: 0.17
12:38:36.588 > Angle: 113.73 Voltaje: 0.18
12:38:36.640 > Angle: 113.73 Voltaje: 0.19
12:38:36.690 > Angle: 113.64 Voltaje: 0.20
12:38:36.740 > Angle: 113.73 Voltaje: 0.21
12:38:36.790 > Angle: 113.73 Voltaje: 0.22
12:38:36.840 > Angle: 113.73 Voltaje: 0.23
12:38:36.893 > Angle: 113.73 Voltaje: 0.24
12:38:36.944 > Angle: 113.73 Voltaje: 0.25
12:38:36.995 > Angle: 113.73 Voltaje: 0.26
12:38:37.047 > Angle: 113.82 Voltaje: 0.27
12:38:37.096 > Angle: 113.82 Voltaje: 0.28
12:38:37.144 > Angle: 113.91 Voltaje: 0.29
12:38:37.199 > Angle: 113.99 Voltaje: 0.30
12:38:37.243 > Angle: 114.08 Voltaje: 0.31
12:38:37.294 > Angle: 114.26 Voltaje: 0.32
12:38:37.352 > Angle: 114.35 Voltaje: 0.33
12:38:37.404 > Angle: 114.61 Voltaje: 0.34
12:38:37.454 > Angle: 114.79 Voltaje: 0.35
12:38:37.506 > Angle: 115.05 Voltaje: 0.36
