11:38:17.799 > Dispositivo iniciado, puedes conectarlo a Bluetooth

11:38:17.802 > AS5600 inicializada.

11:38:17.807 > Esperando mediciones...

11:38:17.807 > t: 0 ms, ángulo: 2.29

11:38:17.816 > t: 2 ms, ángulo: 2.20

11:38:17.816 > t: 4 ms, ángulo: 2.11

11:38:17.816 > t: 5 ms, ángulo: 2.02

11:38:17.816 > t: 7 ms, ángulo: 2.02

11:38:17.816 > t: 9 ms, ángulo: 1.93

11:38:17.816 > t: 10 ms, ángulo: 1.85

11:38:17.816 > t: 12 ms, ángulo: 1.76

11:38:17.830 > t: 13 ms, ángulo: 1.76

11:38:17.832 > t: 15 ms, ángulo: 1.76

11:38:17.832 > t: 16 ms, ángulo: 1.67

11:38:17.832 > t: 18 ms, ángulo: 1.67

11:38:17.832 > t: 19 ms, ángulo: 1.58

11:38:17.841 > t: 21 ms, ángulo: 1.58

11:38:17.841 > t: 22 ms, ángulo: 1.58

11:38:17.841 > t: 24 ms, ángulo: 1.49

11:38:17.841 > t: 35 ms, ángulo: 1.32

11:38:17.848 > t: 37 ms, ángulo: 1.32

11:38:17.848 > t: 38 ms, ángulo: 1.32

11:38:17.848 > t: 40 ms, ángulo: 1.32

11:38:17.856 > t: 41 ms, ángulo: 1.32

11:38:17.856 > t: 43 ms, ángulo: 1.32

11:38:17.856 > t: 44 ms, ángulo: 1.32

11:38:17.856 > t: 46 ms, ángulo: 1.32

11:38:17.864 > t: 47 ms, ángulo: 1.32

11:38:17.866 > t: 49 ms, ángulo: 1.32

11:38:17.866 > t: 50 ms, ángulo: 1.32

11:38:17.866 > t: 52 ms, ángulo: 1.32

11:38:17.873 > t: 53 ms, ángulo: 1.32

11:38:17.873 > t: 54 ms, ángulo: 1.32

11:38:17.873 > t: 56 ms, ángulo: 1.32

11:38:17.880 > t: 68 ms, ángulo: 1.49

11:38:17.882 > t: 69 ms, ángulo: 1.58

11:38:17.882 > t: 71 ms, ángulo: 1.58

11:38:17.888 > t: 72 ms, ángulo: 1.58

11:38:17.889 > t: 74 ms, ángulo: 1.67

11:38:17.890 > t: 75 ms, ángulo: 1.67

11:38:17.890 > t: 77 ms, ángulo: 1.76

11:38:17.890 > t: 78 ms, ángulo: 1.76

11:38:17.890 > t: 79 ms, ángulo: 1.76

11:38:17.899 > t: 81 ms, ángulo: 1.85

11:38:17.899 > t: 82 ms, ángulo: 1.85

11:38:17.899 > t: 84 ms, ángulo: 1.93

11:38:17.906 > t: 85 ms, ángulo: 2.02

11:38:17.906 > t: 87 ms, ángulo: 2.02

11:38:17.906 > t: 88 ms, ángulo: 2.11

11:38:17.906 > t: 100 ms, ángulo: 2.55

11:38:17.915 > t: 102 ms, ángulo: 2.64

11:38:17.915 > t: 103 ms, ángulo: 2.72

11:38:17.915 > t: 104 ms, ángulo: 2.72

11:38:17.922 > t: 106 ms, ángulo: 2.81

