13:08:07.495 > Dispositivo iniciado, puedes conectarlo a Bluetooth
13:08:07.501 > AS5600 inicializada.
13:08:07.506 > Esperando mediciones...
13:08:07.813 > MPU6050 Encontrado!
13:08:07.817 > Rango de Acelerometro: +-8G
13:08:07.818 > Rango del giróscopo: +- 500 deg/s
13:08:07.821 > Filtro pasbanda: 5 Hz
13:08:07.823 > 
13:08:44.506 >  Voltaje: 2.57
13:09:40.201 > Angle: 51.33 Tiempo: 92230
13:09:40.251 > Angle: -4.75 Tiempo: 92330
13:09:40.354 > Angle: -45.88 Tiempo: 92432
13:09:40.456 > Angle: -45.97 Tiempo: 92535
13:09:40.559 > Angle: -8.09 Tiempo: 92637
13:09:40.661 > Angle: 40.61 Tiempo: 92739
13:09:40.763 > Angle: 64.16 Tiempo: 92841
13:09:40.865 > Angle: 48.96 Tiempo: 92943
13:09:40.968 > Angle: 7.47 Tiempo: 93046
13:09:41.069 > Angle: -28.04 Tiempo: 93148
13:09:41.172 > Angle: -35.33 Tiempo: 93250
13:09:41.275 > Angle: -10.63 Tiempo: 93353
13:09:41.377 > Angle: 26.98 Tiempo: 93455
13:09:41.479 > Angle: 49.66 Tiempo: 93557
13:09:41.581 > Angle: 40.61 Tiempo: 93659
13:09:41.683 > Angle: 9.40 Tiempo: 93762
13:09:41.786 > Angle: -18.46 Tiempo: 93864
13:09:41.888 > Angle: -24.96 Tiempo: 93966
13:09:41.990 > Angle: -6.94 Tiempo: 94068
13:09:42.093 > Angle: 21.88 Tiempo: 94171
13:09:42.195 > Angle: 39.46 Tiempo: 94273
13:09:42.296 > Angle: 32.08 Tiempo: 94375
13:09:42.400 > Angle: 8.09 Tiempo: 94477
13:09:42.501 > Angle: -12.66 Tiempo: 94580
13:09:42.604 > Angle: -16.70 Tiempo: 94682
13:09:42.706 > Angle: -2.29 Tiempo: 94784
13:09:42.809 > Angle: 19.60 Tiempo: 94886
13:09:42.911 > Angle: 31.73 Tiempo: 94989
13:09:43.012 > Angle: 24.70 Tiempo: 95091
13:09:43.115 > Angle: 6.15 Tiempo: 95193
13:09:43.218 > Angle: -8.61 Tiempo: 95295
13:09:43.319 > Angle: -9.93 Tiempo: 95398
13:09:43.422 > Angle: 2.11 Tiempo: 95500
13:09:43.524 > Angle: 18.28 Tiempo: 95602
13:09:43.626 > Angle: 25.66 Tiempo: 95704
13:09:43.728 > Angle: 18.72 Tiempo: 95806
13:09:43.831 > Angle: 4.83 Tiempo: 95909
13:09:43.933 > Angle: -4.92 Tiempo: 96011
13:09:44.036 > Angle: -4.22 Tiempo: 96113
13:09:44.138 > Angle: 5.80 Tiempo: 96216
13:09:44.240 > Angle: 17.05 Tiempo: 96318
13:09:44.342 > Angle: 20.39 Tiempo: 96420
13:09:44.444 > Angle: 13.89 Tiempo: 96522
13:09:44.546 > Angle: 4.04 Tiempo: 96625
13:09:44.649 > Angle: -1.58 Tiempo: 96727
13:09:44.751 > Angle: 0.70 Tiempo: 96829
13:09:44.853 > Angle: 8.44 Tiempo: 96931
13:09:44.955 > Angle: 15.38 Tiempo: 97033
13:09:45.058 > Angle: 15.82 Tiempo: 97136
13:09:45.160 > Angle: 10.37 Tiempo: 97238
13:09:45.262 > Angle: 3.96 Tiempo: 97340
13:09:45.364 > Angle: 1.58 Tiempo: 97442
13:09:45.465 > Angle: 4.48 Tiempo: 97544
13:09:45.568 > Angle: 10.02 Tiempo: 97646
13:09:45.670 > Angle: 13.62 Tiempo: 97748
13:09:45.772 > Angle: 12.39 Tiempo: 97850
13:09:45.874 > Angle: 8.09 Tiempo: 97951
13:09:45.975 > Angle: 4.39 Tiempo: 98053
13:09:46.078 > Angle: 4.13 Tiempo: 98155
13:09:46.180 > Angle: 7.03 Tiempo: 98257
13:09:46.281 > Angle: 10.46 Tiempo: 98359
13:09:46.383 > Angle: 11.78 Tiempo: 98461
13:09:46.485 > Angle: 9.93 Tiempo: 98563
13:09:46.587 > Angle: 7.03 Tiempo: 98665
13:09:46.689 > Angle: 5.45 Tiempo: 98767
13:09:46.791 > Angle: 6.24 Tiempo: 98869
13:09:46.893 > Angle: 8.35 Tiempo: 98971
13:09:46.995 > Angle: 10.11 Tiempo: 99073
13:09:47.097 > Angle: 9.93 Tiempo: 99175
13:09:47.199 > Angle: 8.35 Tiempo: 99277
13:09:47.300 > Angle: 6.86 Tiempo: 99379
13:09:47.403 > Angle: 6.68 Tiempo: 99481
13:09:47.504 > Angle: 7.65 Tiempo: 99583
13:09:47.607 > Angle: 8.79 Tiempo: 99685
13:09:47.708 > Angle: 9.14 Tiempo: 99786
13:09:47.810 > Angle: 8.61 Tiempo: 99888
