13:14:55.712 > Dispositivo iniciado, puedes conectarlo a Bluetooth
13:14:55.712 > AS5600 inicializada.
13:14:55.728 > Esperando mediciones...
13:14:56.030 > MPU6050 Encontrado!
13:14:56.030 > Rango de Acelerometro: +-8G
13:14:56.030 > Rango del giróscopo: +- 500 deg/s
13:14:56.030 > Filtro pasbanda: 5 Hz
13:14:56.045 > 
13:15:01.146 > t: 4965 ms, ángulo: 6.94
13:15:01.162 > t: 5019 ms, ángulo: 6.94
13:15:01.163 > t: 5022 ms, ángulo: 6.94
13:15:01.163 > t: 5026 ms, ángulo: 6.94
13:15:01.163 > t: 5029 ms, ángulo: 6.94
13:15:01.163 > t: 5033 ms, ángulo: 6.94
13:15:01.179 > t: 5036 ms, ángulo: 6.94
13:15:01.183 > t: 5040 ms, ángulo: 6.94
13:15:01.185 > t: 5043 ms, ángulo: 6.94
13:15:01.185 > t: 5047 ms, ángulo: 6.94
13:15:01.185 > t: 5050 ms, ángulo: 6.94
13:15:01.196 > t: 5054 ms, ángulo: 6.94
13:15:01.199 > t: 5057 ms, ángulo: 6.94
13:15:01.199 > t: 5061 ms, ángulo: 6.94
13:15:01.199 > t: 5064 ms, ángulo: 6.94
13:15:01.199 > t: 5068 ms, ángulo: 6.94
13:15:01.216 > t: 5071 ms, ángulo: 7.03
13:15:01.217 > t: 5075 ms, ángulo: 7.03
13:15:01.217 > t: 5078 ms, ángulo: 7.03
13:15:01.217 > t: 5082 ms, ángulo: 7.03
13:15:01.229 > t: 5085 ms, ángulo: 7.03
13:15:01.231 > t: 5089 ms, ángulo: 7.03
13:15:01.233 > t: 5092 ms, ángulo: 7.03
13:15:01.233 > t: 5096 ms, ángulo: 7.03
13:15:01.243 > t: 5099 ms, ángulo: 7.03
13:15:01.246 > t: 5103 ms, ángulo: 7.12
13:15:01.249 > t: 5106 ms, ángulo: 7.12
13:15:01.250 > t: 5110 ms, ángulo: 7.12
13:15:01.250 > t: 5113 ms, ángulo: 7.21
13:15:01.250 > t: 5117 ms, ángulo: 7.21
13:15:01.264 > t: 5120 ms, ángulo: 7.21
13:15:01.266 > t: 5124 ms, ángulo: 7.29
13:15:01.266 > t: 5127 ms, ángulo: 7.29
13:15:01.266 > t: 5131 ms, ángulo: 7.38
13:15:01.278 > t: 5134 ms, ángulo: 7.38
13:15:01.280 > t: 5138 ms, ángulo: 7.47
13:15:01.283 > t: 5142 ms, ángulo: 7.47
13:15:01.283 > t: 5145 ms, ángulo: 7.56
13:15:01.283 > t: 5149 ms, ángulo: 7.65
13:15:01.295 > t: 5152 ms, ángulo: 7.65
13:15:01.298 > t: 5156 ms, ángulo: 7.73
13:15:01.299 > t: 5159 ms, ángulo: 7.82
13:15:01.299 > t: 5163 ms, ángulo: 7.91
13:15:01.299 > t: 5166 ms, ángulo: 8.00
13:15:01.313 > t: 5170 ms, ángulo: 8.09
13:15:01.316 > t: 5173 ms, ángulo: 8.17
13:15:01.316 > t: 5177 ms, ángulo: 8.26
13:15:01.316 > t: 5180 ms, ángulo: 8.35
13:15:01.316 > t: 5184 ms, ángulo: 8.53
13:15:01.329 > t: 5187 ms, ángulo: 8.61
13:15:01.333 > t: 5191 ms, ángulo: 8.70
13:15:01.333 > t: 5194 ms, ángulo: 8.79
13:15:01.333 > t: 5198 ms, ángulo: 8.96
13:15:01.343 > t: 5201 ms, ángulo: 9.14
13:15:01.349 > t: 5205 ms, ángulo: 9.23
13:15:01.350 > t: 5208 ms, ángulo: 9.40
13:15:01.350 > t: 5212 ms, ángulo: 9.49
13:15:01.350 > t: 5215 ms, ángulo: 9.67
13:15:01.362 > t: 5219 ms, ángulo: 9.84
13:15:01.365 > t: 5222 ms, ángulo: 10.02
13:15:01.366 > t: 5226 ms, ángulo: 10.20
13:15:01.366 > t: 5229 ms, ángulo: 10.37
13:15:01.366 > t: 5233 ms, ángulo: 10.46
13:15:01.379 > t: 5236 ms, ángulo: 10.72
13:15:01.383 > t: 5240 ms, ángulo: 10.90
13:15:01.383 > t: 5243 ms, ángulo: 11.07
13:15:01.383 > t: 5247 ms, ángulo: 11.25
13:15:01.393 > t: 5250 ms, ángulo: 11.43
13:15:01.397 > t: 5254 ms, ángulo: 11.69
13:15:01.399 > t: 5257 ms, ángulo: 11.87
13:15:01.399 > t: 5261 ms, ángulo: 12.13
13:15:01.399 > t: 5264 ms, ángulo: 12.30
13:15:01.399 > t: 5268 ms, ángulo: 12.57
13:15:01.415 > t: 5271 ms, ángulo: 12.83
13:15:01.416 > t: 5275 ms, ángulo: 13.01
13:15:01.416 > t: 5278 ms, ángulo: 13.27
13:15:01.416 > t: 5282 ms, ángulo: 13.54
13:15:01.429 > t: 5285 ms, ángulo: 13.80
